docIdx	label
A1	alt.atheism
A10	alt.atheism
A100	alt.atheism
A1000	comp.graphics
A10000	talk.politics.mideast
A10001	talk.politics.mideast
A10002	talk.politics.mideast
A10003	talk.politics.mideast
A10004	talk.politics.mideast
A10005	talk.politics.mideast
A10006	talk.politics.mideast
A10007	talk.politics.mideast
A10008	talk.politics.mideast
A10009	talk.politics.mideast
A1001	comp.graphics
A10010	talk.politics.mideast
A10011	talk.politics.mideast
A10012	talk.politics.mideast
A10013	talk.politics.mideast
A10014	talk.politics.mideast
A10015	talk.politics.mideast
A10016	talk.politics.mideast
A10017	talk.politics.mideast
A10018	talk.politics.mideast
A10019	talk.politics.mideast
A1002	comp.graphics
A10020	talk.politics.mideast
A10021	talk.politics.mideast
A10022	talk.politics.mideast
A10023	talk.politics.mideast
A10024	talk.politics.mideast
A10025	talk.politics.mideast
A10026	talk.politics.mideast
A10027	talk.politics.mideast
A10028	talk.politics.mideast
A10029	talk.politics.mideast
A1003	comp.graphics
A10030	talk.politics.mideast
A10031	talk.politics.mideast
A10032	talk.politics.mideast
A10033	talk.politics.mideast
A10034	talk.politics.mideast
A10035	talk.politics.mideast
A10036	talk.politics.mideast
A10037	talk.politics.mideast
A10038	talk.politics.mideast
A10039	talk.politics.mideast
A1004	comp.graphics
A10040	talk.politics.mideast
A10041	talk.politics.mideast
A10042	talk.politics.mideast
A10043	talk.politics.mideast
A10044	talk.politics.mideast
A10045	talk.politics.mideast
A10046	talk.politics.mideast
A10047	talk.politics.mideast
A10048	talk.politics.mideast
A10049	talk.politics.mideast
A1005	comp.graphics
A10050	talk.politics.mideast
A10051	talk.politics.mideast
A10052	talk.politics.mideast
A10053	talk.politics.mideast
A10054	talk.politics.mideast
A10055	talk.politics.mideast
A10056	talk.politics.mideast
A10057	talk.politics.mideast
A10058	talk.politics.mideast
A10059	talk.politics.mideast
A1006	comp.graphics
A10060	talk.politics.mideast
A10061	talk.politics.mideast
A10062	talk.politics.mideast
A10063	talk.politics.mideast
A10064	talk.politics.mideast
A10065	talk.politics.mideast
A10066	talk.politics.mideast
A10067	talk.politics.mideast
A10068	talk.politics.mideast
A10069	talk.politics.mideast
A1007	comp.graphics
A10070	talk.politics.mideast
A10071	talk.politics.mideast
A10072	talk.politics.mideast
A10073	talk.politics.mideast
A10074	talk.politics.mideast
A10075	talk.politics.mideast
A10076	talk.politics.mideast
A10077	talk.politics.mideast
A10078	talk.politics.mideast
A10079	talk.politics.mideast
A1008	comp.graphics
A10080	talk.politics.mideast
A10081	talk.politics.mideast
A10082	talk.politics.mideast
A10083	talk.politics.mideast
A10084	talk.politics.mideast
A10085	talk.politics.mideast
A10086	talk.politics.mideast
A10087	talk.politics.mideast
A10088	talk.politics.mideast
A10089	talk.politics.mideast
A1009	comp.graphics
A10090	talk.politics.mideast
A10091	talk.politics.mideast
A10092	talk.politics.mideast
A10093	talk.politics.mideast
A10094	talk.politics.mideast
A10095	talk.politics.mideast
A10096	talk.politics.mideast
A10097	talk.politics.mideast
A10098	talk.politics.mideast
A10099	talk.politics.mideast
A101	alt.atheism
A1010	comp.graphics
A10100	talk.politics.mideast
A10101	talk.politics.mideast
A10102	talk.politics.mideast
A10103	talk.politics.mideast
A10104	talk.politics.mideast
A10105	talk.politics.mideast
A10106	talk.politics.mideast
A10107	talk.politics.mideast
A10108	talk.politics.mideast
A10109	talk.politics.mideast
A1011	comp.graphics
A10110	talk.politics.mideast
A10111	talk.politics.mideast
A10112	talk.politics.mideast
A10113	talk.politics.mideast
A10114	talk.politics.mideast
A10115	talk.politics.mideast
A10116	talk.politics.mideast
A10117	talk.politics.mideast
A10118	talk.politics.mideast
A10119	talk.politics.mideast
A1012	comp.graphics
A10120	talk.politics.mideast
A10121	talk.politics.mideast
A10122	talk.politics.mideast
A10123	talk.politics.mideast
A10124	talk.politics.mideast
