X	Y	Freq
1335	3335	516
229	2229	501
46	2046	518
1137	3137	530
231	2231	496
138	2138	511
712	2712	526
776	2776	491
533	2533	535
1114	3114	471
1575	3575	477
1108	3108	505
1017	3017	505
106	2106	490
1684	3684	511
216	2216	525
1059	3059	493
1617	3617	476
684	2684	471
1904	3904	484
1339	3339	510
749	2749	497
814	2814	512
1673	3673	512
758	2758	478
1163	3163	530
1714	3714	526
1789	3789	516
1276	3276	502
1655	3655	466
1627	3627	481
1787	3787	489
1547	3547	498
1378	3378	529
189	2189	489
1894	3894	486
399	2399	523
325	2325	501
949	2949	452
1297	3297	476
1546	3546	499
10	2010	524
1074	3074	507
1897	3897	491
1728	3728	485
648	2648	514
1430	3430	509
1822	3822	464
966	2966	488
1086	3086	489
1663	3663	520
1742	3742	465
1447	3447	477
1174	3174	505
220	2220	525
1521	3521	491
1122	3122	525
1963	3963	528
1843	3843	497
1106	3106	505
380	2380	494
1676	3676	504
263	2263	517
579	2579	504
1614	3614	473
1774	3774	505
92	2092	478
1269	3269	495
1018	3018	491
879	2879	489
1985	3985	505
1087	3087	498
1961	3961	504
352	2352	492
1171	3171	499
154	2154	510
1819	3819	506
988	2988	492
1860	3860	510
701	2701	518
1509	3509	488
1833	3833	465
184	2184	495
1230	3230	502
682	2682	504
1337	3337	507
837	2837	466
252	2252	488
1709	3709	484
1531	3531	497
230	2230	538
1654	3654	512
573	2573	486
971	2971	483
1689	3689	483
1457	3457	520
1583	3583	514
1576	3576	484
14	2014	495
124	2124	510
191	2191	493
641	2641	490
975	2975	490
248	2248	534
629	2629	514
490	2490	475
1892	3892	492
1609	3609	489
1123	3123	460
200	2200	481
831	2831	537
1246	3246	521
1559	3559	484
1094	3094	489
1375	3375	544
597	2597	478
336	2336	551
1313	3313	504
589	2589	495
790	2790	517
94	2094	519
286	2286	488
690	2690	503
437	2437	475
152	2152	496
1496	3496	510
872	2872	498
290	2290	471
789	2789	504
570	2570	522
1953	3953	534
1303	3303	530
1895	3895	514
1153	3153	518
800	2800	479
901	2901	540
1522	3522	458
1100	3100	488
185	2185	501
704	2704	498
635	2635	534
1041	3041	536
354	2354	511
102	2102	497
553	2553	457
98	2098	496
1435	3435	496
54	2054	461
312	2312	488
1642	3642	493
1243	3243	525
1528	3528	522
1873	3873	533
611	2611	474
479	2479	462
1823	3823	495
1472	3472	467
1327	3327	464
795	2795	459
1701	3701	518
394	2394	509
1444	3444	501
1158	3158	525
137	2137	514
642	2642	499
1315	3315	500
764	2764	507
866	2866	500
946	2946	504
1322	3322	524
804	2804	482
1406	3406	509
785	2785	492
375	2375	525
1936	3936	496
1005	3005	495
1700	3700	503
851	2851	513
1527	3527	468
1168	3168	482
1890	3890	476
1880	3880	487
1520	3520	489
1466	3466	490
384	2384	533
607	2607	528
1154	3154	522
954	2954	473
1442	3442	492
1426	3426	511
1305	3305	495
1410	3410	493
1128	3128	515
431	2431	507
1590	3590	507
1944	3944	488
1321	3321	519
918	2918	490
564	2564	484
991	2991	479
89	2089	481
396	2396	498
1228	3228	443
1373	3373	541
113	2113	484
303	2303	524
299	2299	545
1820	3820	504
807	2807	464
128	2128	543
395	2395	505
1493	3493	493
1304	3304	487
1280	3280	507
540	2540	509
1282	3282	489
1786	3786	528
318	2318	494
1990	3990	490
1793	3793	538
961	2961	524
175	2175	487
1597	3597	486
568	2568	453
227	2227	499
1293	3293	495
1330	3330	480
1671	3671	477
1780	3780	467
224	2224	508
1038	3038	539
1155	3155	508
285	2285	535
168	2168	504
633	2633	500
1257	3257	487
1906	3906	489
1660	3660	492
342	2342	474
1066	3066	479
1223	3223	498
96	2096	457
1387	3387	534
1110	3110	488
1581	3581	490
1718	3718	517
1196	3196	499
599	2599	529
939	2939	507
1225	3225	479
202	2202	505
1792	3792	491
1991	3991	492
771	2771	513
338	2338	472
801	2801	493
1587	3587	508
762	2762	536
1838	3838	525
817	2817	495
1476	3476	512
1834	3834	495
1798	3798	519
1826	3826	518
984	2984	520
686	2686	490
873	2873	487
1710	3710	480
1289	3289	513
283	2283	522
1678	3678	488
438	2438	478
347	2347	481
508	2508	498
8	2008	521
1084	3084	508
1117	3117	515
1135	3135	495
584	2584	447
1735	3735	503
667	2667	493
1253	3253	488
390	2390	484
833	2833	463
1367	3367	532
225	2225	462
1224	3224	513
1139	3139	540
809	2809	508
1290	3290	505
205	2205	504
1615	3615	523
1607	3607	468
1129	3129	533
262	2262	501
566	2566	485
1416	3416	472
357	2357	511
258	2258	481
50	2050	450
798	2798	493
255	2255	522
365	2365	483
188	2188	484
813	2813	492
32	2032	516
1133	3133	500
134	2134	445
268	2268	513
7	2007	492
451	2451	500
469	2469	496
1653	3653	472
199	2199	482
165	2165	504
622	2622	509
861	2861	524
1840	3840	494
1455	3455	484
639	2639	499
276	2276	530
337	2337	545
85	2085	555
1338	3338	503
1658	3658	481
16	2016	490
1395	3395	520
1719	3719	494
590	2590	524
505	2505	484
1847	3847	514
953	2953	501
1921	3921	457
1915	3915	486
1142	3142	509
423	2423	477
1195	3195	474
